행정구역,2014년_총인구수,2015년_총인구수,2016년_총인구수
서울특별시 종로구 (1111000000),156993,154986,152737
서울특별시 중구 (1114000000),128065,125733,125249
서울특별시 용산구 (1117000000),235951,233342,230241
서울특별시 성동구 (1120000000),296086,297003,299259
서울특별시 광진구 (1121500000),363354,360369,357215
서울특별시 동대문구 (1123000000),363687,360153,355069
서울특별시 중랑구 (1126000000),418836,413909,411005
서울특별시 성북구 (1129000000),466706,459275,450355
서울특별시 강북구 (1130500000),335025,330873,327195
서울특별시 도봉구 (1132000000),353709,351242,348220
서울특별시 노원구 (1135000000),582552,574583,567581
서울특별시 은평구 (1138000000),498644,497920,491476
서울특별시 서대문구 (1141000000),310376,312141,314194
서울특별시 마포구 (1144000000),385439,387643,379892
서울특별시 양천구 (1147000000),486221,484532,477739
서울특별시 강서구 (1150000000),585160,589074,595485
서울특별시 구로구 (1153000000),425831,422092,417551
서울특별시 금천구 (1154500000),238463,236284,235386
서울특별시 영등포구 (1156000000),382352,378504,370613
서울특별시 동작구 (1159000000),407470,400641,400997
서울특별시 관악구 (1162000000),513186,509663,506851
서울특별시 서초구 (1165000000),449678,446764,447192
서울특별시 강남구 (1168000000),578114,576495,567115
서울특별시 송파구 (1171000000),664738,660302,657831
서울특별시 강동구 (1174000000),476597,458658,444168
